"Data from Open Data/DOT as of Summer 2021*
Some Open Streets have been Combined in this analysis",,,,,Transportation Alternatives' Data,,,,,,ACS 2014-2018 US Census Data,,,,,,,,,,,,,,,,,,,,,,,Data from Open Data/DOT,,,,,,,,,,,,,,,,
Brooklyn,Blake Avenue,Miller Avenue,Hinsdale Street,East New York,"726 Blake Ave, Brooklyn, NY 11207",1.0,0%,0%,Non-operational,,"21,093","5,485","15,608",349,"14,584",29,195,0,182,269,"7,839","1,795",699,858,707,775,"1,197",622,817,224,145,"$33,457","$50,884",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Bragg Street,Avenue V,Avenue Y,Sheepshead Bay,"2264 Bragg St, Brooklyn, NY 11229",1.0,0%,0%,Non-operational,,"25,250","3,275","21,975","14,407","3,061",117,"3,758",0,31,601,"10,125",819,822,"1,048",914,"1,588","1,189","1,201","1,405",659,480,"$48,735","$71,523",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Cadman Plaza East,Johnson Street,Tillary Street,Korean War Veterans Plaza,"271 Cadman Plaza E, Brooklyn, NY 11201",4.0,0%,100%,Non-operational,,"33,646","4,900","28,746","16,875","5,570",32,"4,655",31,102,"1,481","15,498","1,163",662,"1,161",618,933,"1,356","1,487","2,473","1,978","3,667","$106,538","$154,944",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Calder Place,Prospect Ave,17th Street,17th Street Block Association,"335 Prospect Ave, Brooklyn, NY 11215",1.0,100%,100%,Active,508.77,"21,522","5,829","15,693","12,692",442,43,"1,452",0,182,882,"8,589",340,165,437,396,612,"1,202","1,086","1,849","1,039","1,463","$101,485","$131,951",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00 AM,8:00 PM,10:00 AM,8:00 PM,"S,U",
Brooklyn,Carroll Street,Court Street,Smith Street,Carroll Park,"241 Carroll St, Brooklyn, NY 11231",10.0,0%,0%,Non-operational,,"21,755","2,426","19,329","16,743",325,30,"1,187",0,42,"1,002","9,070",471,137,272,377,357,789,689,"1,293","1,621","3,064","$154,627","$205,816",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Chester Avenue,Fort Hamilton Parkway,Church Avenue,Kensington,"50 Chester Ave, Brooklyn, NY 11218",2.7,0%,0%,Non-operational,,"24,206","5,128","19,078","11,703",540,0,"6,137",0,178,520,"6,748",266,506,848,750,770,"1,035",812,934,477,350,"$56,763","$74,281",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Columbia Place,Joralemon Street,State Street,Willowtown Association,"16 Columbia Pl, Brooklyn, NY 11201",5.0,0%,0%,Non-operational,,"23,375","1,748","21,627","17,158","1,232",0,"2,048",10,78,"1,101","10,402",430,346,267,458,444,793,839,"1,951","1,392","3,482","$141,684","$214,529",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Congress Street,Clinton Street,Henry Street,Cobble Hill Association,"157 Congress St # B, Brooklyn, NY 11201",6.0,25%,50%,Active,521.11,"27,629","2,598","25,031","19,634","1,695",0,"2,313",27,125,"1,237","12,119",597,191,267,350,525,"1,113",985,"2,044","1,708","4,339","$149,677","$213,542",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Decatur Street,Howard Avenue,Saratoga Avenue,Decatur Howard Saratoga Block Association President,"577 Decatur St, Brooklyn, NY 11233",10.0,100%,100%,Active,726.50,"30,286","4,264","26,022","3,252","21,152",64,881,0,12,661,"11,716","1,396",803,"1,365","1,126","1,421","1,773","1,198","1,412",604,618,"$46,756","$71,949",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00 AM,8:00 PM,8:00 AM,8:00 PM,N/A,N/A,"S,U",
Brooklyn,Driggs Avenue,Monitor Street,Meeker Avenue,North Brooklyn Open Streets Community Coalition,"48 Driggs Ave, Brooklyn, NY 11222",1.0,0%,0%,Non-operational,,"20,561","3,755","16,806","14,145","1,099",24,917,0,61,560,"9,101",674,324,751,557,665,"1,292","1,155","1,628",764,"1,291","$81,223","$102,141",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Dumont Avenue,Thomas Boyland Street,Strauss Street,Betsy Head Park,"220 Dumont Ave, Brooklyn, NY 11212",3.0,0%,0%,Non-operational,,"25,194","5,213","19,981",269,"18,788",86,602,30,0,206,"10,198","2,690","1,085","1,140",996,"1,551","1,285",591,624,99,137,"$26,453","$40,961",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,East 16th Street,Avenue R,East 17th Street,Homecrest,"1810 East 16th Street, Brooklyn, NY 11229",2.0,0%,100%,Non-operational,,"20,664","2,045","18,619","15,241",201,17,"2,332",0,0,828,"8,009",542,631,864,708,"1,040","1,194",861,"1,162",475,532,"$54,621","$76,045",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,East 18th Street,Quentin Road,Avenue R,1717 East 18th Street Owners Corporation,"1811 Quentin Rd, Brooklyn, NY 11229",4.0,0%,0%,Active,843.81,"29,960","2,825","27,135","22,368",445,17,"3,207",0,17,"1,081","11,346",801,"1,190","1,177",981,"1,353","1,889","1,120","1,620",574,641,"$52,156","$73,787",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00 PM,8:00 PM,12:00 PM,8:00 PM,"S,U",
Brooklyn,East 32nd Street,Snyder Avenue,Church Avenue,East Flatbush,"43 E 32nd St, Brooklyn, NY 11226",3.0,0%,0%,Non-operational,,"27,514","2,515","24,999","1,507","22,340",23,633,0,52,444,"10,117","1,082",609,953,939,"1,462","1,724","1,346","1,214",471,317,"$50,167","$65,346",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Ellery Street,Broadway,Beaver Street,Bushwick,"330 Ellery St, Brooklyn, NY 11206",3.0,0%,0%,Non-operational,,"31,941","12,830","19,111","7,223","8,039",70,"3,451",22,16,290,"12,024","1,478","1,636","1,569","1,184","1,336","1,573","1,116","1,240",465,427,"$36,122","$58,897",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Graham Avenue,Skillman Avenue,Conselyea Street,Concord Hill,"375 Graham Ave, Brooklyn, NY 11211",7.0,100%,100%,Active,226.52,"22,244","3,884","18,360","14,566",789,165,"2,076",0,214,550,"10,473",484,412,597,465,687,"1,456","1,254","1,998","1,196","1,924","$97,638","$125,423",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,12:00 AM,11:00 AM,12:00 AM,11:00 AM,12:00 AM,"F,S,U",
Brooklyn,Grand Street,Marcy Avenue,Roebling Street,Gertie,"364 Grand St, Brooklyn, NY 11211",5.5,50%,50%,Active,836.00,"28,917","11,572","17,345","13,670",960,76,"1,826",8,59,746,"12,224",969,925,"1,010",675,"1,051","1,470","1,366","1,850","1,263","1,645","$75,220","$103,336",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,11:00 PM,10:00 AM,11:00 PM,10:00 AM,11:00 PM,"F,S,U",
Brooklyn,Grattan Street,Morgan Avenue,Bogart Street,Grattan Street Merhcant Group,"48 1/2, Grattan Street, Brooklyn, NY 11237",2.0,0%,0%,Non-operational,,"16,501","8,785","7,716","4,906","1,838",38,627,0,0,307,"5,722",628,403,545,442,554,708,639,"1,014",428,361,"$58,892","$77,753",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00 AM,8:00 PM,U,
Brooklyn,Hall Street,Park Avenue,Myrtle Avenue,Hall Street Block Association,"97 Hall St, Brooklyn, NY 11205",3.6,0%,8%,Active,776.79,"19,230","3,097","16,133","8,332","5,629",0,"1,426",8,96,642,"8,052",666,252,474,443,776,"1,313","1,086","1,532",687,823,"$77,348","$102,593",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Henry Street,Lorraine Street,Bay Street,Red Hook Recreation Center,"59 W 9th St, Brooklyn, NY 11231",3.0,0%,0%,Non-operational,,"11,053","3,953","7,100","2,041","4,020",0,471,268,166,134,"4,617","1,134",699,477,404,514,450,175,328,213,223,"$24,971","$54,875",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Hoyt Street,Atlantic Avenue,Schermerhorn Street,Atlantic Avenue Business Improvement District,"84 Hoyt St, Brooklyn, NY 11201",9.8,100%,100%,Active,448.33,"34,923","5,962","28,961","17,398","5,844",0,"3,922",48,269,"1,480","15,686","1,236",362,762,726,887,"1,282","1,370","2,694","2,133","4,234","$119,980","$171,297",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,"F,S,U",Y
Brooklyn,Humboldt Street,Moore Street,Flushing Avenue,Bushwick,"50 Humboldt St, Brooklyn, NY 11206",1.0,0%,0%,Non-operational,,"33,107","14,788","18,319","8,887","4,956",59,"3,751",22,33,611,"13,346","1,765","1,690","1,579","1,400","1,307","1,792","1,322","1,349",600,542,"$37,735","$61,219",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Jefferson Avenue,Patchen Avenue,Malcolm X Boulevard,700 Jefferson Avenue Block Association,"749 Jefferson Ave, Brooklyn, NY 11221",1.0,0%,0%,Non-operational,,"32,594","4,027","28,567","4,316","22,420",93,963,0,0,775,"12,530","1,415",983,922,"1,207","1,157","1,852","1,402","1,792",829,971,"$57,685","$82,805",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00 PM,8:00 PM,12:00 PM,8:00 PM,12:00 PM,8:00 PM,"F,S,U",
Brooklyn,Joralemon Street,Hicks Street,Furman Street,Willowtown Association,"49 Joralemon St, Brooklyn, NY 11201",4.4,0%,0%,Active,680.52,"23,375","1,748","21,627","17,158","1,232",0,"2,048",10,78,"1,101","10,402",430,346,267,458,444,793,839,"1,951","1,392","3,482","$141,684","$214,529",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Lawrence Street,Fulton Street,Willoughby Street,Downtown Brooklyn Partnership,"151 Lawrence St 4th floor, Brooklyn, NY 11201",9.0,100%,100%,Active,375.06,"29,491","3,756","25,735","15,138","4,815",0,"4,118",48,144,"1,472","13,299",938,293,495,439,855,"1,076","1,133","2,368","1,961","3,741","$127,758","$177,902",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,12:00 AM,11:00 AM,12:00 PM,11:00 AM,8:00 PM,"F,S,U",
Brooklyn,Leonard Street,Montrose Avenue,Boerum Street,Sternberg Park,"68 Leonard St, Brooklyn, NY 11206",1.0,0%,0%,Non-operational,,"33,541","12,088","21,453","11,903","4,901",59,"3,974",33,25,558,"12,715","1,817","1,737","1,724","1,462","1,225","1,538","1,144",926,537,605,"$32,196","$58,406",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Lincoln Place,Washington Avenue,Bedford Avenue,Prospect Heights,"443 Lincoln Pl, Brooklyn, NY 11238",2.0,0%,0%,Non-operational,,"37,827","3,668","34,159","11,579","18,769",39,"2,100",0,173,"1,499","16,574","1,410",907,"1,197","1,047","1,532","2,416","1,924","2,997","1,273","1,871","$72,363","$98,241",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Livonia Avenue,Junius Street,Powell Street,Brownsville,"434 Livonia Ave, Brooklyn, NY 11212",2.0,0%,0%,Non-operational,,"23,876","6,354","17,522",103,"16,740",132,276,0,186,85,"10,135","2,988","1,346","1,346","1,187","1,085",956,376,532,216,103,"$19,590","$39,006",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Macon Street,Arlington Place,Tompkins Avenue,Bed-Stuy,"17 Macon St, Brooklyn, NY 11216",2.3,0%,0%,Active,"2,083.95","34,508","3,383","31,125","8,096","20,325",14,"1,575",10,196,909,"15,116","1,594",799,"1,188","1,335","1,556","2,051","2,106","2,207",998,"1,282","$62,006","$87,971",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Main Street,Water Street,Plymouth Street,DUMBO Business Improvement District,"37 Main St, Brooklyn, NY 11201",1.5,0%,0%,Non-operational,,"11,833","1,079","10,754","7,858","1,049",32,"1,196",0,13,606,"5,376",122,80,261,159,210,582,708,783,695,"1,776","$135,137","$196,714",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11:00 AM,9:00 PM,11:00 AM,9:00 PM,11:00 AM,9:00 PM,"F,S,U",
Brooklyn,Montague Street,Hicks Street,Pierrepont Place,Brooklyn Heights,"65 Montague St, Brooklyn, NY 11201",2.0,0%,0%,Non-operational,,"15,208","1,038","14,170","11,682",437,0,"1,283",10,37,721,"6,958",273,244,210,357,352,424,559,"1,255",941,"2,343","$142,262","$227,671",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Moore Street,Humboldt Street,Bushwick Avenue,Bushwick,"131 Moore St, Brooklyn, NY 11206",2.0,0%,0%,Non-operational,,"29,778","13,999","15,779","6,636","4,776",59,"3,682",22,33,571,"12,638","1,725","1,637","1,455","1,278","1,243","1,673","1,228","1,301",584,514,"$37,654","$61,253",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,North 3rd Street,Kent Avenue,Metropolitan Avenue,Williamsburg,"85 N 3rd St, Brooklyn, NY 11249",1.5,0%,0%,Non-operational,,"29,982","8,936","21,046","16,778",735,0,"2,575",8,65,885,"14,383","1,013",561,606,776,"1,226","1,300","1,725","2,448","1,606","3,122","$99,775","$140,343",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Nassau Avenue,Banker Street,Lorimer Street,North Brooklyn Open Streets Community Coalition,"33 Nassau Ave, Brooklyn, NY 11222",1.5,0%,0%,Non-operational,,"19,835","2,134","17,701","15,005",797,64,"1,195",6,79,555,"9,651",519,219,654,593,658,"1,091","1,159","1,748","1,015","1,995","$98,544","$131,175",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Newkirk Avenue,Coney Island Avenue,East 17th Street,Flatbush Development Corporation,"980 Coney Island Ave, Brooklyn, NY 11230",9.0,50%,50%,Active,"1,763.67","28,400","3,496","24,904","13,815","3,001",39,"7,096",0,215,738,"9,590",607,615,980,838,"1,179","1,778","1,126","1,210",613,644,"$58,124","$80,788",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00 PM,8:00 PM,U,
Brooklyn,Noll Street,Evergreen Avenue,Central Avenue,Green Central Knoll Park,"100 Noll St, Brooklyn, NY 11206",2.0,0%,0%,Non-operational,,"26,768","14,701","12,067","6,933","3,282",41,"1,248",0,115,448,"9,718","1,010",880,961,808,943,"1,324","1,080","1,551",689,472,"$54,656","$72,783",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,North Elliott Place,Park Avenue,Flushing Avenue,Commodore Barry Park,"33 N Elliott Pl, Brooklyn, NY 11205",5.0,0%,100%,Non-operational,,"23,874","5,960","17,914","3,590","9,442",127,"3,606",21,412,716,"9,391","1,548",725,"1,282",904,986,993,472,995,612,874,"$37,927","$80,645",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Pacific Street,Smith Street,Nevins Street,Boreum Hill Association,"311 Pacific St, Brooklyn, NY 11201",5.0,0%,0%,Active,"1,986.99","21,771","3,858","17,913","12,131","2,977",0,"1,830",27,201,747,"9,357",611,124,471,550,494,708,934,"1,505","1,152","2,808","$120,439","$182,429",Temporary Limited Local Access,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00 AM,8:00 PM,8:00 AM,8:00 PM,"S,U",
Brooklyn,Park Place,New York Avenue,Kingston Avenue,Crown Heights,"949 Park Pl, Brooklyn, NY 11213",2.0,0%,0%,Non-operational,,"36,253","3,975","32,278","7,829","22,224",0,"1,050",0,121,"1,054","15,129","1,564","1,122","1,843","1,001","1,869","2,463","1,576","2,064",781,846,"$51,442","$75,160",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Prospect Place,New York Avenue,Brooklyn Avenue,Fresh Air Fund,"881 Prospect Pl, Brooklyn, NY 11213",1.0,0%,0%,Non-operational,,"24,100","2,128","21,972","5,656","14,688",0,815,0,87,726,"10,541","1,122",634,"1,002",726,"1,197","1,792","1,168","1,674",579,647,"$56,699","$80,507",Temporary Full Closure,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,N/A,N/A,N/A,N/A,N/A,N/A,"M,T,W,R",
Brooklyn,Randolph Street,Gardner Avenue,Scott Avenue,Enlightenment Wines Farm and Meadery LLC.,"232 Randolph St, Brooklyn, NY 11237",2.0,0%,0%,Non-operational,,"12,625","6,349","6,276","3,343","1,803",24,932,4,34,136,"4,064",496,293,439,315,419,526,426,642,307,201,"$52,491","$72,901",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,4:00 PM,11:00 PM,"R,F,S,U",
Brooklyn,Rapelye Street,Hicks Street,Henry Street,"Brooklyn New School, PS 146","93 Rapelye St, Brooklyn, NY 11231",8.0,100%,100%,Active,415.66,"15,702","1,738","13,964","12,026",377,0,601,0,233,727,"6,516",219,142,199,247,311,692,646,923,"1,140","1,997","$143,094","$184,213",Temporary Full Closure,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,N/A,N/A,N/A,N/A,"M,T,W,R,F",
Brooklyn,Reed Street,Conover Street,Van Brunt Street,Hometown Bar B Que,"26 Reed St, Brooklyn, NY 11231",5.7,33%,33%,Active,416.72,"2,245",586,"1,659","1,235",242,0,55,0,45,82,958,66,44,51,45,80,72,95,196,123,186,"$101,806","$124,844",Temporary Full Closure,N/A,N/A,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,11:00 PM,12:00 PM,11:00 PM,12:00 PM,10:00 PM,"T,W,R,F,S,U",
Brooklyn,Rockwell Place,Dekalb Avenue,Fulton Street,Downtown Brooklyn Partnership,"74 Dekalb Ave, Brooklyn, NY 11201",4.0,0%,0%,Non-operational,,"24,405","3,261","21,144","11,202","4,965",0,"3,615",21,196,"1,145","11,007",818,303,583,459,730,"1,021",936,"2,015","1,507","2,635","$115,664","$155,651",Temporary Full Closure,N/A,N/A,N/A,N/A,N/A,N/A,5:00 PM,12:00 AM,5:00 PM,12:00 AM,5:00 PM,12:00 AM,N/A,N/A,"R,F,S",
Brooklyn,Russell Street,Nassau Avenue,Driggs Avenue,North Brooklyn Open Streets Community Coalition,"109 Russell St, Brooklyn, NY 11222",1.0,0%,50%,Non-operational,,"20,561","3,755","16,806","14,145","1,099",24,917,0,61,560,"9,101",674,324,751,557,665,"1,292","1,155","1,628",764,"1,291","$81,223","$102,141",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Schenectady Avenue,Eastern Parkway,Empire Boulevard,Crown Heights,"1612 Carroll St, Brooklyn, NY 11213",1.0,0%,0%,Non-operational,,"55,099","4,896","50,203","14,317","33,997",5,815,0,186,883,"20,491","2,175","1,640","2,275","2,102","3,061","3,632","2,112","2,115",704,675,"$44,792","$61,707",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Sharon Street,Morgan Avenue,Olive Street,Sharon Street Block Association,"64 Sharon St, Brooklyn, NY 11211",6.7,43%,86%,Active,"1,170.00","12,678","4,013","8,665","6,420","1,090",24,797,0,73,261,"5,233",520,253,443,218,399,604,572,963,493,768,"$82,845","$101,523",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Somers Street,Rockaway Avenue,Fulton Street,Bed-Stuy,"132 Rockaway Ave, Brooklyn, NY 11233",1.0,0%,0%,Non-operational,,"30,862","6,033","24,829","2,064","21,938",45,481,0,30,271,"11,621","1,830",769,"1,282","1,065","1,841","1,875","1,024","1,039",510,386,"$41,887","$59,520",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,South 9th Street,Berry Street,Driggs Avenue,Williamsburg,"89 N 9th St, Brooklyn, NY 11249",2.0,0%,0%,Active,811.92,"14,292","2,469","11,823","9,253",334,0,"1,683",0,64,489,"7,166",521,115,107,389,541,584,656,"1,371",906,"1,976","$120,477","$167,233",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,South Portland Avenue,Fulton Street,Dekalb Avenue,Fort Greene,"61 S Portland Ave, Brooklyn, NY 11217",8.1,0%,0%,Non-operational,,"31,668","3,792","27,876","15,305","8,387",0,"2,507",0,160,"1,517","14,288",765,622,705,628,992,"1,655","1,698","2,716","1,649","2,858","$101,351","$138,262",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,St. Marks Place,3rd Avenue,4th Avenue,Boerum Hill,"58 St Marks Pl, Brooklyn, NY 11217",2.0,0%,0%,Non-operational,,"28,222","6,385","21,837","13,049","5,594",0,"2,038",10,226,920,"11,349",750,300,947,825,825,"1,065","1,179","1,931","1,061","2,466","$95,409","$148,023",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
Brooklyn,Stanley Avenue,Vermont Avenue,VanSiclen Avenue,East New York,"559 Stanley Ave, Brooklyn, NY 11207",1.0,0%,0%,Non-operational,,"27,525","5,519","22,006",563,"20,595",51,119,0,388,290,"10,539","2,045",991,"1,210","1,046","1,308","1,671",961,914,233,160,"$34,696","$48,605",Temporary Limited Local Access,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,8:00 AM,8:00 PM,ALL,
